title,imdb_link
Hamilton,https://www.imdb.com//title/tt8503618/
The Call of the Wild,https://www.imdb.com//title/tt7504726/
A Bad Moms Christmas,https://www.imdb.com//title/tt6359956/
Gladiator,https://www.imdb.com//title/tt0172495/
Pulp Fiction,https://www.imdb.com//title/tt0110912/
The Goonies,https://www.imdb.com//title/tt0089218/
The Godfather: Part III,https://www.imdb.com//title/tt0099674/
I'm Thinking of Ending Things,https://www.imdb.com//title/tt7939766/
Deadpool,https://www.imdb.com//title/tt1431045/
Buddy Games,https://www.imdb.com//title/tt7070818/
Christmas on the Square,https://www.imdb.com//title/tt10627548/
Knock Knock,https://www.imdb.com//title/tt3605418/
The Invisible Man,https://www.imdb.com//title/tt1051906/
Inglourious Basterds,https://www.imdb.com//title/tt0361748/
Gone Girl,https://www.imdb.com//title/tt2267998/
After,https://www.imdb.com//title/tt4126476/
The Prestige,https://www.imdb.com//title/tt0482571/
Wonder Woman,https://www.imdb.com//title/tt0451279/
Ford v Ferrari,https://www.imdb.com//title/tt1950186/
Cats,https://www.imdb.com//title/tt5697572/
Little Women,https://www.imdb.com//title/tt3281548/
The Matrix,https://www.imdb.com//title/tt0133093/
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,https://www.imdb.com//title/tt7713068/
Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com//title/tt1201607/
The Irishman,https://www.imdb.com//title/tt1302006/
Blade Runner 2049,https://www.imdb.com//title/tt1856101/
One Flew Over the Cuckoo's Nest,https://www.imdb.com//title/tt0073486/
Star Wars: Episode I - The Phantom Menace,https://www.imdb.com//title/tt0120915/
Twilight,https://www.imdb.com//title/tt1099212/
Bill & Ted Face the Music,https://www.imdb.com//title/tt1086064/
X-Men: Days of Future Past,https://www.imdb.com//title/tt1877832/
Solo: A Star Wars Story,https://www.imdb.com//title/tt3778644/
The Call,https://www.imdb.com//title/tt12971924/
Palm Springs,https://www.imdb.com//title/tt9484998/
Se7en,https://www.imdb.com//title/tt0114369/
Suicide Squad,https://www.imdb.com//title/tt1386697/
Back to the Future,https://www.imdb.com//title/tt0088763/
Love and Monsters,https://www.imdb.com//title/tt2222042/
Rogue One: A Star Wars Story,https://www.imdb.com//title/tt3748528/
Jiu Jitsu,https://www.imdb.com//title/tt9624766/
Aquaman,https://www.imdb.com//title/tt1477834/
Fred Claus,https://www.imdb.com//title/tt0486583/
Fight Club,https://www.imdb.com//title/tt0137523/
Split,https://www.imdb.com//title/tt4972582/
The Dark Knight Rises,https://www.imdb.com//title/tt1345836/
Black Panther,https://www.imdb.com//title/tt1825683/
Tombstone,https://www.imdb.com//title/tt0108358/
A Christmas Carol,https://www.imdb.com//title/tt1067106/
Bad Boys for Life,https://www.imdb.com//title/tt1502397/
Mortal Engines,https://www.imdb.com//title/tt1571234/
Christmas with the Kranks,https://www.imdb.com//title/tt0388419/
Honest Thief,https://www.imdb.com//title/tt1838556/
Scott Pilgrim vs. the World,https://www.imdb.com//title/tt0446029/
The Lighthouse,https://www.imdb.com//title/tt7984734/
Terminator: Dark Fate,https://www.imdb.com//title/tt6450804/
Fargo,https://www.imdb.com//title/tt0116282/
Mean Girls,https://www.imdb.com//title/tt0377092/
Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com//title/tt0086190/
The Greatest Showman,https://www.imdb.com//title/tt1485796/
Doctor Sleep,https://www.imdb.com//title/tt5606664/
The Old Guard,https://www.imdb.com//title/tt7556122/
Love,https://www.imdb.com//title/tt3774694/
Goodfellas,https://www.imdb.com//title/tt0099685/
Jumanji: The Next Level,https://www.imdb.com//title/tt7975244/
Ready Player One,https://www.imdb.com//title/tt1677720/
The Lord of the Rings: The Return of the King,https://www.imdb.com//title/tt0167260/
Harry Potter and the Goblet of Fire,https://www.imdb.com//title/tt0330373/
Home Alone 3,https://www.imdb.com//title/tt0119303/
Come Play,https://www.imdb.com//title/tt8004664/
The Secret: Dare to Dream,https://www.imdb.com//title/tt4411584/
The Princess Switch,https://www.imdb.com//title/tt8954732/
Guardians of the Galaxy Vol. 2,https://www.imdb.com//title/tt3896198/
Jingle All the Way,https://www.imdb.com//title/tt0116705/
Star Wars: Episode II - Attack of the Clones,https://www.imdb.com//title/tt0121765/
The Hunger Games,https://www.imdb.com//title/tt1392170/
National Lampoon's Vacation,https://www.imdb.com//title/tt0085995/
Nomadland,https://www.imdb.com//title/tt9770150/
The SpongeBob Movie: Sponge on the Run,https://www.imdb.com//title/tt4823776/
Forrest Gump,https://www.imdb.com//title/tt0109830/
Guardians of the Galaxy,https://www.imdb.com//title/tt2015381/
Green Book,https://www.imdb.com//title/tt6966692/
His House,https://www.imdb.com//title/tt8508734/
A Star Is Born,https://www.imdb.com//title/tt1517451/
The Outpost,https://www.imdb.com//title/tt3833480/
Krampus,https://www.imdb.com//title/tt3850590/
Avengers: Infinity War,https://www.imdb.com//title/tt4154756/
2001: A Space Odyssey,https://www.imdb.com//title/tt0062622/
The Departed,https://www.imdb.com//title/tt0407887/
Sucker Punch,https://www.imdb.com//title/tt0978764/
Midnight at the Magnolia,https://www.imdb.com//title/tt13318052/
The Santa Clause 3: The Escape Clause,https://www.imdb.com//title/tt0452681/
John Wick,https://www.imdb.com//title/tt2911666/
The Thing from Another World,https://www.imdb.com//title/tt0044121/
Django Unchained,https://www.imdb.com//title/tt1853728/
Nativity!,https://www.imdb.com//title/tt1242447/
Extraction,https://www.imdb.com//title/tt8936646/
Watchmen,https://www.imdb.com//title/tt0409459/
Fantasy Island,https://www.imdb.com//title/tt0983946/
Casino Royale,https://www.imdb.com//title/tt0381061/
"Planes, Trains & Automobiles",https://www.imdb.com//title/tt0093748/
A Simple Favor,https://www.imdb.com//title/tt7040874/
Four Christmases,https://www.imdb.com//title/tt0369436/
Apocalypse Now,https://www.imdb.com//title/tt0078788/
Uncut Gems,https://www.imdb.com//title/tt5727208/
The Craft: Legacy,https://www.imdb.com//title/tt4685762/
The Silence of the Lambs,https://www.imdb.com//title/tt0102926/
Jack Reacher,https://www.imdb.com//title/tt0790724/
Baywatch,https://www.imdb.com//title/tt1469304/
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com//title/tt0080684/
Thor: Ragnarok,https://www.imdb.com//title/tt3501632/
Over the Moon,https://www.imdb.com//title/tt7488208/
Midway,https://www.imdb.com//title/tt6924650/
Soorarai Pottru,https://www.imdb.com//title/tt10189514/
Schindler's List,https://www.imdb.com//title/tt0108052/
Gremlins,https://www.imdb.com//title/tt0087363/
Us,https://www.imdb.com//title/tt6857112/
The Impossible,https://www.imdb.com//title/tt1649419/
Léon: The Professional,https://www.imdb.com//title/tt0110413/
Venom,https://www.imdb.com//title/tt1270797/
The King,https://www.imdb.com//title/tt7984766/
Dune,https://www.imdb.com//title/tt0087182/
"Yes, God, Yes",https://www.imdb.com//title/tt8949056/
Hereditary,https://www.imdb.com//title/tt7784604/
The Big Lebowski,https://www.imdb.com//title/tt0118715/
It,https://www.imdb.com//title/tt1396484/
Star Wars: Episode III - Revenge of the Sith,https://www.imdb.com//title/tt0121766/
The Lie,https://www.imdb.com//title/tt7945440/
Dunkirk,https://www.imdb.com//title/tt5013056/
Zodiac,https://www.imdb.com//title/tt0443706/
The Nest,https://www.imdb.com//title/tt8338762/
The Hobbit: An Unexpected Journey,https://www.imdb.com//title/tt0903624/
The Lion King,https://www.imdb.com//title/tt6105098/
Train to Busan Presents: Peninsula,https://www.imdb.com//title/tt8850222/
The Godfather: Part II,https://www.imdb.com//title/tt0071562/
Dark Waters,https://www.imdb.com//title/tt9071322/
Pride & Prejudice,https://www.imdb.com//title/tt0414387/
Dazed and Confused,https://www.imdb.com//title/tt0106677/
No Country for Old Men,https://www.imdb.com//title/tt0477348/
About Time,https://www.imdb.com//title/tt2194499/
The Revenant,https://www.imdb.com//title/tt1663202/
Taxi Driver,https://www.imdb.com//title/tt0075314/
The Poseidon Adventure,https://www.imdb.com//title/tt0069113/
The Karate Kid,https://www.imdb.com//title/tt0087538/
The Dead Don't Die,https://www.imdb.com//title/tt8695030/
Marauders,https://www.imdb.com//title/tt3963816/
The Green Mile,https://www.imdb.com//title/tt0120689/
Full Metal Jacket,https://www.imdb.com//title/tt0093058/
6 Underground,https://www.imdb.com//title/tt8106534/
The Peanut Butter Falcon,https://www.imdb.com//title/tt4364194/
Polar,https://www.imdb.com//title/tt4139588/
Justice League,https://www.imdb.com//title/tt0974015/
American Pie,https://www.imdb.com//title/tt0163651/
The Shining,https://www.imdb.com//title/tt0081505/
The Lord of the Rings: The Two Towers,https://www.imdb.com//title/tt0167261/
Requiem for a Dream,https://www.imdb.com//title/tt0180093/
Whiplash,https://www.imdb.com//title/tt2582802/
Spider-Man: Far from Home,https://www.imdb.com//title/tt6320628/
Star Wars: Episode VII - The Force Awakens,https://www.imdb.com//title/tt2488496/
Wonder,https://www.imdb.com//title/tt2543472/
The Family Stone,https://www.imdb.com//title/tt0356680/
American Beauty,https://www.imdb.com//title/tt0169547/
Troy,https://www.imdb.com//title/tt0332452/
Galaxy Quest,https://www.imdb.com//title/tt0177789/
Call Me by Your Name,https://www.imdb.com//title/tt5726616/
Man of Steel,https://www.imdb.com//title/tt0770828/
Raiders of the Lost Ark,https://www.imdb.com//title/tt0082971/
The Rhythm Section,https://www.imdb.com//title/tt7134096/
Deck the Halls,https://www.imdb.com//title/tt0790604/
Stardust,https://www.imdb.com//title/tt0486655/
Harry Potter and the Prisoner of Azkaban,https://www.imdb.com//title/tt0304141/
Office Christmas Party,https://www.imdb.com//title/tt1711525/
Mulan,https://www.imdb.com//title/tt0120762/
The War with Grandpa,https://www.imdb.com//title/tt4532038/
GoldenEye,https://www.imdb.com//title/tt0113189/
The Terminator,https://www.imdb.com//title/tt0088247/
Greyhound,https://www.imdb.com//title/tt6048922/
Grease,https://www.imdb.com//title/tt0077631/
Miracle on 34th Street,https://www.imdb.com//title/tt0110527/
Crazy Rich Asians,https://www.imdb.com//title/tt3104988/
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",https://www.imdb.com//title/tt0363771/
Skyfall,https://www.imdb.com//title/tt1074638/
Ocean's Eleven,https://www.imdb.com//title/tt0240772/
Eyes Wide Shut,https://www.imdb.com//title/tt0120663/
Harry Potter and the Deathly Hallows: Part 1,https://www.imdb.com//title/tt0926084/
Prisoners,https://www.imdb.com//title/tt1392214/
Fantastic Beasts: The Crimes of Grindelwald,https://www.imdb.com//title/tt4123430/
Good Will Hunting,https://www.imdb.com//title/tt0119217/
Star Wars: Episode VIII - The Last Jedi,https://www.imdb.com//title/tt2527336/
The Life Ahead,https://www.imdb.com//title/tt10627584/
Alien,https://www.imdb.com//title/tt0078748/
Braveheart,https://www.imdb.com//title/tt0112573/
The King of Staten Island,https://www.imdb.com//title/tt9686708/
Gemini Man,https://www.imdb.com//title/tt1025100/
Alita: Battle Angel,https://www.imdb.com//title/tt0437086/
Antebellum,https://www.imdb.com//title/tt10065694/
A Quiet Place,https://www.imdb.com//title/tt6644200/
Jurassic Park,https://www.imdb.com//title/tt0107290/
Avatar,https://www.imdb.com//title/tt0499549/
The Last of the Mohicans,https://www.imdb.com//title/tt0104691/
Memento,https://www.imdb.com//title/tt0209144/
Frozen,https://www.imdb.com//title/tt2294629/
Top Gun,https://www.imdb.com//title/tt0092099/
Spider-Man: Homecoming,https://www.imdb.com//title/tt2250912/
Love the Coopers,https://www.imdb.com//title/tt2279339/
Portrait of a Lady on Fire,https://www.imdb.com//title/tt8613070/
Taking Lives,https://www.imdb.com//title/tt0364045/
Clouds,https://www.imdb.com//title/tt6473066/
Dr. No,https://www.imdb.com//title/tt0055928/
Fifty Shades of Grey,https://www.imdb.com//title/tt2322441/
Mission: Impossible - Fallout,https://www.imdb.com//title/tt4912910/
Captain Marvel,https://www.imdb.com//title/tt4154664/
Charlie's Angels,https://www.imdb.com//title/tt5033998/
X-Men: The Last Stand,https://www.imdb.com//title/tt0376994/
"Salò, or the 120 Days of Sodom",https://www.imdb.com//title/tt0073650/
Harry Potter and the Order of the Phoenix,https://www.imdb.com//title/tt0373889/
The Usual Suspects,https://www.imdb.com//title/tt0114814/
The Princess Bride,https://www.imdb.com//title/tt0093779/
The Grand Budapest Hotel,https://www.imdb.com//title/tt2278388/
Spider-Man,https://www.imdb.com//title/tt0145487/
Harry Potter and the Chamber of Secrets,https://www.imdb.com//title/tt0295297/
Moneyball,https://www.imdb.com//title/tt1210166/
Get Out,https://www.imdb.com//title/tt5052448/
The Hateful Eight,https://www.imdb.com//title/tt3460252/
The Outsiders,https://www.imdb.com//title/tt0086066/
Logan,https://www.imdb.com//title/tt3315342/
Dreamland,https://www.imdb.com//title/tt5294522/
It Chapter Two,https://www.imdb.com//title/tt7349950/
Moana,https://www.imdb.com//title/tt3521164/
Bloodshot,https://www.imdb.com//title/tt1634106/
The Dark and the Wicked,https://www.imdb.com//title/tt10229558/
Porky's,https://www.imdb.com//title/tt0084522/
Contagion,https://www.imdb.com//title/tt1598778/
Shutter Island,https://www.imdb.com//title/tt1130884/
V for Vendetta,https://www.imdb.com//title/tt0434409/
The Favourite,https://www.imdb.com//title/tt5083738/
Beauty and the Beast,https://www.imdb.com//title/tt2771200/
Cinderella,https://www.imdb.com//title/tt1661199/
Doctor Strange,https://www.imdb.com//title/tt1211837/
Kingdom of Heaven,https://www.imdb.com//title/tt0320661/
Rocketman,https://www.imdb.com//title/tt2066051/
Frozen II,https://www.imdb.com//title/tt4520988/
The Muppet Christmas Carol,https://www.imdb.com//title/tt0104940/
Hard Candy,https://www.imdb.com//title/tt0424136/
Ad Astra,https://www.imdb.com//title/tt2935510/
Glass,https://www.imdb.com//title/tt6823368/
The Big Short,https://www.imdb.com//title/tt1596363/
John Wick: Chapter 3 - Parabellum,https://www.imdb.com//title/tt6146586/
High Society,https://www.imdb.com//title/tt0049314/
On the Rocks,https://www.imdb.com//title/tt9606374/
Ready or Not,https://www.imdb.com//title/tt7798634/
National Lampoon's Animal House,https://www.imdb.com//title/tt0077975/
Waiting for the Barbarians,https://www.imdb.com//title/tt6149154/
Blade Runner,https://www.imdb.com//title/tt0083658/
12 Angry Men,https://www.imdb.com//title/tt0050083/
The Fifth Element,https://www.imdb.com//title/tt0119116/
Saving Private Ryan,https://www.imdb.com//title/tt0120815/
Wild Things,https://www.imdb.com//title/tt0120890/
Poseidon,https://www.imdb.com//title/tt0409182/
Nanny McPhee,https://www.imdb.com//title/tt0396752/
Arrival,https://www.imdb.com//title/tt2543164/
Halloween,https://www.imdb.com//title/tt1502407/
A Beautiful Day in the Neighborhood,https://www.imdb.com//title/tt3224458/
Trading Places,https://www.imdb.com//title/tt0086465/
The Croods,https://www.imdb.com//title/tt0481499/
State of Play,https://www.imdb.com//title/tt0473705/
Miracle on 34th Street,https://www.imdb.com//title/tt0039628/
Arkansas,https://www.imdb.com//title/tt9139586/
Come and See,https://www.imdb.com//title/tt0091251/
Batman Begins,https://www.imdb.com//title/tt0372784/
Eternal Sunshine of the Spotless Mind,https://www.imdb.com//title/tt0338013/
Spectre,https://www.imdb.com//title/tt2379713/
Harry Potter and the Half-Blood Prince,https://www.imdb.com//title/tt0417741/
Willy Wonka & the Chocolate Factory,https://www.imdb.com//title/tt0067992/
American Psycho,https://www.imdb.com//title/tt0144084/
The Hangover,https://www.imdb.com//title/tt1119646/
Let Them All Talk,https://www.imdb.com//title/tt10808832/
Her,https://www.imdb.com//title/tt1798709/
Hacksaw Ridge,https://www.imdb.com//title/tt2119532/
Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com//title/tt0325980/
The Great Gatsby,https://www.imdb.com//title/tt1343092/
Giant,https://www.imdb.com//title/tt0049261/
Aliens,https://www.imdb.com//title/tt0090605/
Radioactive,https://www.imdb.com//title/tt6017756/
The Rental,https://www.imdb.com//title/tt10003008/
Motherless Brooklyn,https://www.imdb.com//title/tt0385887/
Bohemian Rhapsody,https://www.imdb.com//title/tt1727824/
The Notebook,https://www.imdb.com//title/tt0332280/
Batman v Superman: Dawn of Justice,https://www.imdb.com//title/tt2975590/
Shazam!,https://www.imdb.com//title/tt0448115/
Legend,https://www.imdb.com//title/tt0089469/
300,https://www.imdb.com//title/tt0416449/
Les Misérables,https://www.imdb.com//title/tt1707386/
Project Power,https://www.imdb.com//title/tt7550000/
The Hobbit: The Desolation of Smaug,https://www.imdb.com//title/tt1170358/
Fast & Furious Presents: Hobbs & Shaw,https://www.imdb.com//title/tt6806448/
The Social Network,https://www.imdb.com//title/tt1285016/
Richard Jewell,https://www.imdb.com//title/tt3513548/
Captain America: The First Avenger,https://www.imdb.com//title/tt0458339/
Sonic the Hedgehog,https://www.imdb.com//title/tt3794354/
Selena,https://www.imdb.com//title/tt0120094/
La La Land,https://www.imdb.com//title/tt3783958/
The Blue Lagoon,https://www.imdb.com//title/tt0080453/
The Avengers,https://www.imdb.com//title/tt0848228/
Prospect,https://www.imdb.com//title/tt7946422/
Beetlejuice,https://www.imdb.com//title/tt0094721/
Den of Thieves,https://www.imdb.com//title/tt1259528/
Easy A,https://www.imdb.com//title/tt1282140/
Old School,https://www.imdb.com//title/tt0302886/
The Girl in the Spider's Web,https://www.imdb.com//title/tt5177088/
Kindergarten Cop,https://www.imdb.com//title/tt0099938/
Vanguard,https://www.imdb.com//title/tt9695722/
The Shape of Water,https://www.imdb.com//title/tt5580390/
Cruel Intentions,https://www.imdb.com//title/tt0139134/
Let It Snow,https://www.imdb.com//title/tt1950235/
The Nutcracker and the Four Realms,https://www.imdb.com//title/tt5523010/
The Help,https://www.imdb.com//title/tt1454029/
There Will Be Blood,https://www.imdb.com//title/tt0469494/
The Girl with the Dragon Tattoo,https://www.imdb.com//title/tt1568346/
Bridesmaids,https://www.imdb.com//title/tt1478338/
Andhaghaaram,https://www.imdb.com//title/tt9110340/
The Thing,https://www.imdb.com//title/tt0084787/
Charlie and the Chocolate Factory,https://www.imdb.com//title/tt0367594/
Iron Man,https://www.imdb.com//title/tt0371746/
The Wizard of Oz,https://www.imdb.com//title/tt0032138/
Prometheus,https://www.imdb.com//title/tt1446714/
Falling Down,https://www.imdb.com//title/tt0106856/
Arthur Christmas,https://www.imdb.com//title/tt1430607/
Stand by Me,https://www.imdb.com//title/tt0092005/
The Town,https://www.imdb.com//title/tt0840361/
The Girl Next Door,https://www.imdb.com//title/tt0265208/
Heat,https://www.imdb.com//title/tt0113277/
Goldfinger,https://www.imdb.com//title/tt0058150/
Aladdin,https://www.imdb.com//title/tt6139732/
Almost Famous,https://www.imdb.com//title/tt0181875/
American Hustle,https://www.imdb.com//title/tt1800241/
Matilda,https://www.imdb.com//title/tt0117008/
Black Swan,https://www.imdb.com//title/tt0947798/
Coco,https://www.imdb.com//title/tt2380307/
Platoon,https://www.imdb.com//title/tt0091763/
Leyla Everlasting,https://www.imdb.com//title/tt11792734/
Hubie Halloween,https://www.imdb.com//title/tt10682266/
Snow Day,https://www.imdb.com//title/tt0184907/
Trolls World Tour,https://www.imdb.com//title/tt6587640/
Scarface,https://www.imdb.com//title/tt0086250/
The Man from U.N.C.L.E.,https://www.imdb.com//title/tt1638355/
Iron Mask,https://www.imdb.com//title/tt6218010/
The Lion King,https://www.imdb.com//title/tt0110357/
"The Good, the Bad and the Ugly",https://www.imdb.com//title/tt0060196/
Kids,https://www.imdb.com//title/tt0113540/
Baby Driver,https://www.imdb.com//title/tt3890160/
The Judge,https://www.imdb.com//title/tt1872194/
Mile 22,https://www.imdb.com//title/tt4560436/
Spirited Away,https://www.imdb.com//title/tt0245429/
Kingsman: The Secret Service,https://www.imdb.com//title/tt2802144/
Dead Poets Society,https://www.imdb.com//title/tt0097165/
Ex Machina,https://www.imdb.com//title/tt0470752/
Superbad,https://www.imdb.com//title/tt0829482/
Zombieland: Double Tap,https://www.imdb.com//title/tt1560220/
Bad Santa,https://www.imdb.com//title/tt0307987/
American Gangster,https://www.imdb.com//title/tt0765429/
Misery,https://www.imdb.com//title/tt0100157/
2067,https://www.imdb.com//title/tt1918734/
Another Round,https://www.imdb.com//title/tt10288566/
Marriage Story,https://www.imdb.com//title/tt7653254/
Basic Instinct,https://www.imdb.com//title/tt0103772/
Sputnik,https://www.imdb.com//title/tt11905962/
BlacKkKlansman,https://www.imdb.com//title/tt7349662/
From Russia with Love,https://www.imdb.com//title/tt0057076/
The Twilight Saga: Breaking Dawn - Part 2,https://www.imdb.com//title/tt1673434/
Eurovision Song Contest: The Story of Fire Saga,https://www.imdb.com//title/tt8580274/
A Beautiful Mind,https://www.imdb.com//title/tt0268978/
The Platform,https://www.imdb.com//title/tt8228288/
Thor,https://www.imdb.com//title/tt0800369/
Die Another Day,https://www.imdb.com//title/tt0246460/
Captain America: Civil War,https://www.imdb.com//title/tt3498820/
Snatch,https://www.imdb.com//title/tt0208092/
X-Men: Dark Phoenix,https://www.imdb.com//title/tt6565702/
The Predator,https://www.imdb.com//title/tt3829266/
Incredibles 2,https://www.imdb.com//title/tt3606756/
True Grit,https://www.imdb.com//title/tt1403865/
Edward Scissorhands,https://www.imdb.com//title/tt0099487/
Point Break,https://www.imdb.com//title/tt0102685/
"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com//title/tt5027774/
Hustlers,https://www.imdb.com//title/tt5503686/
Bad Times at the El Royale,https://www.imdb.com//title/tt6628394/
X-Men,https://www.imdb.com//title/tt0120903/
Boogie Nights,https://www.imdb.com//title/tt0118749/
Oldboy,https://www.imdb.com//title/tt0364569/
Snowpiercer,https://www.imdb.com//title/tt1706620/
The Incredibles,https://www.imdb.com//title/tt0317705/
The Maze Runner,https://www.imdb.com//title/tt1790864/
The Martian,https://www.imdb.com//title/tt3659388/
Avengers: Age of Ultron,https://www.imdb.com//title/tt2395427/
Notting Hill,https://www.imdb.com//title/tt0125439/
The Family Man,https://www.imdb.com//title/tt0218967/
Hunt for the Wilderpeople,https://www.imdb.com//title/tt4698684/
The Toxic Avenger,https://www.imdb.com//title/tt0090190/
Airplane!,https://www.imdb.com//title/tt0080339/
Wall Street,https://www.imdb.com//title/tt0094291/
The Lobster,https://www.imdb.com//title/tt3464902/
Ocean's Eight,https://www.imdb.com//title/tt5164214/
